Chemin,Nom,Taille,Lignes,Modifié,Type
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_modeles.py,diagnostic_modeles.py,1440,43,2025-11-27T23:38:48,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_assureur_final.py,test_assureur_final.py,2068,72,2025-12-03T09:56:08,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/find_message_interne.py,find_message_interne.py,1201,36,2025-10-31T20:12:42,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_manuel_rapide.py,test_manuel_rapide.py,667,23,2025-11-20T14:30:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_final.sh,test_final.sh,1534,46,2025-10-28T20:46:29,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/liste_problemes_corrige.py,liste_problemes_corrige.py,1555,39,2025-10-26T13:02:27,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_final_vue.py,diagnostic_final_vue.py,2139,57,2025-11-17T11:53:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyse_urgence.py,analyse_urgence.py,10214,267,2025-11-12T11:09:46,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnose_profiles.py,diagnose_profiles.py,1457,48,2025-11-01T23:13:03,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_formulaire_message1.py,test_formulaire_message1.py,1640,55,2025-11-16T21:11:26,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/debug_creation_ordonnance.py,debug_creation_ordonnance.py,4666,137,2025-10-16T17:17:52,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verification_formulaire.py,verification_formulaire.py,2542,78,2025-11-16T21:11:26,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verifier_auth.py,verifier_auth.py,8080,236,2025-12-02T13:08:29,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_assureurs.py,correction_assureurs.py,1910,54,2025-11-15T18:23:18,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verification_finale3.py,verification_finale3.py,1243,39,2025-11-02T19:13:11,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/repair_ultimate.py,repair_ultimate.py,8849,243,2025-12-04T23:45:51,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/creer_patients_final.py,creer_patients_final.py,4388,90,2025-11-28T09:22:25,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/python diagnostic_global_applications.py --auto,python diagnostic_global_applications.py --auto,36419,N/A,2025-12-06T12:32:22,.py --auto
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnose_button.py,diagnose_button.py,6740,206,2025-10-26T20:32:05,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_interactions_temps_reel.py,test_interactions_temps_reel.py,2211,58,2025-11-27T21:11:47,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/lancer_analyse_complete.sh,lancer_analyse_complete.sh,1339,34,2025-10-20T20:45:54,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_global_applications.py,diagnostic_global_applications.py,36419,913,2025-12-06T12:32:22,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/template_affichage_texte.txt,template_affichage_texte.txt,1909,31,2025-11-27T13:09:26,.txt
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_creation_cotisation.py,test_creation_cotisation.py,19642,515,2025-12-04T22:28:19,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_recherche.py,correction_recherche.py,3652,107,2025-10-15T10:44:25,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/debug_connection.py,debug_connection.py,5397,160,2025-10-04T10:41:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/calcul_scores_manquants.py,calcul_scores_manquants.py,2448,69,2025-11-30T21:34:59,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_membres1.py,diagnostic_membres1.py,6040,168,2025-11-27T09:25:24,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/find_customloginview_usage.py,find_customloginview_usage.py,1524,42,2025-10-04T16:17:05,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_cotisations_correct.py,test_cotisations_correct.py,7275,190,2025-12-03T15:38:23,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_final_confirmation.py,test_final_confirmation.py,1281,38,2025-11-02T19:20:20,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_solution.py,test_solution.py,797,31,2025-11-17T09:55:15,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_finale2.py,correction_finale2.py,16974,434,2025-11-05T20:14:41,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/backup_simple.py,backup_simple.py,1541,53,2025-12-03T13:44:55,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/create_minimal_config_template.py,create_minimal_config_template.py,1679,48,2025-12-04T20:05:07,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/rapport_analyse_projet.json,rapport_analyse_projet.json,931,37,2025-11-19T14:42:09,.json
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_api_finale_complete.py,test_api_finale_complete.py,3067,87,2025-11-05T17:27:49,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_finale_template2.py,correction_finale_template2.py,13612,285,2025-11-17T13:06:32,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_finale_liste_membres.py,correction_finale_liste_membres.py,2015,54,2025-10-15T09:18:19,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/performance_finale.py,performance_finale.py,3381,105,2025-12-03T19:51:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verifier_urls_manuellement.sh,verifier_urls_manuellement.sh,247,9,2025-10-22T15:59:26,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/synthese_finale_macos.py,synthese_finale_macos.py,1915,56,2025-11-27T10:35:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_current_view.py,check_current_view.py,839,30,2025-12-01T19:21:56,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/generation_automatique_corrige.py,generation_automatique_corrige.py,6670,189,2025-12-03T19:48:03,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/debug_redirection_assureur.py,debug_redirection_assureur.py,3224,93,2025-12-06T01:09:43,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/demarrer_et_tester.py,demarrer_et_tester.py,2657,84,2025-12-01T00:37:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_missing_urls.py,check_missing_urls.py,835,32,2025-10-16T13:10:51,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/clear_cache.py,clear_cache.py,1626,52,2025-10-25T08:55:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_complete.py,correction_complete.py,13061,346,2025-12-02T13:29:31,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/urls_analyzer.py,urls_analyzer.py,1576,59,2025-11-19T09:48:32,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/run_analyse_configuration3.py,run_analyse_configuration3.py,1688,52,2025-11-15T21:48:19,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/adapter_tests_existants.py,adapter_tests_existants.py,954,39,2025-09-30T14:02:49,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyze_agents_app.py,analyze_agents_app.py,14058,391,2025-10-27T14:43:36,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_cotisations.py,diagnostic_cotisations.py,7328,194,2025-11-27T20:47:42,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/solution_finale_corrigee.py,solution_finale_corrigee.py,6080,180,2025-11-30T21:49:43,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/planificateur_macos.py,planificateur_macos.py,5442,163,2025-11-27T10:35:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_assureur_final.py,correction_assureur_final.py,20841,561,2025-12-02T21:35:40,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_doublons.py,correction_doublons.py,5564,174,2025-11-19T16:14:47,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_complet_filtres_corrige.py,diagnostic_complet_filtres_corrige.py,6646,155,2025-11-28T07:41:24,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_complet_final.py,diagnostic_complet_final.py,8025,235,2025-12-02T16:05:49,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyse_dependances.py,analyse_dependances.py,1311,42,2025-11-19T15:09:41,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/sidebar.py,sidebar.py,1669,36,2025-10-22T11:49:00,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyze_projec.py,analyze_projec.py,23392,647,2025-12-06T12:59:55,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/dashboard_fallback.py,dashboard_fallback.py,2689,75,2025-10-24T13:56:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verification_formulaire_corrige.py,verification_formulaire_corrige.py,5386,131,2025-11-16T21:48:47,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/debug_connection.py,debug_connection.py,9562,250,2025-10-06T10:25:44,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/migrations/__init__.py,__init__.py,0,1,2025-10-08T21:56:38,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/migrations/0001_initial.py,0001_initial.py,1145,47,2025-12-05T07:17:40,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/logging_config.py,logging_config.py,1422,43,2025-11-19T08:36:24,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/models.py,models.py,1031,35,2025-10-08T21:56:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/validators.py,validators.py,1303,44,2025-10-06T12:48:58,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/asgi.py,asgi.py,952,32,2025-10-21T08:54:51,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/management/__init__.py,__init__.py,0,1,2025-10-06T10:27:37,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/management/commands/create_test_users.py,create_test_users.py,2793,71,2025-10-06T12:48:58,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/management/commands/__init__.py,__init__.py,0,1,2025-10-06T10:27:50,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/management/commands/analyze_auth.py,analyze_auth.py,6158,131,2025-10-06T10:46:43,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/management/commands/diagnostic_access.py,diagnostic_access.py,7512,175,2025-10-06T22:12:37,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/__init__.py,__init__.py,351,12,2025-10-04T11:39:31,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/apps.py,apps.py,382,14,2025-10-08T21:56:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/surveillance_sync.py,surveillance_sync.py,5827,152,2025-11-27T09:42:29,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/middlewares.py,middlewares.py,1451,36,2025-10-04T20:06:32,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/context_processors.py,context_processors.py,969,38,2025-10-06T12:48:58,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/admin.py,admin.py,950,26,2025-10-21T17:14:06,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/utils.py,utils.py,11032,320,2025-11-19T08:36:24,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/custom_permissions.py,custom_permissions.py,1986,59,2025-10-06T23:46:24,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/settings.py,settings.py,9626,326,2025-12-01T03:38:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/views.py.final_backup,views.py.final_backup,4700,N/A,2025-10-04T23:22:59,.final_backup
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/custom_decorators.py,custom_decorators.py,1472,39,2025-10-06T23:46:24,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/urls.py,urls.py,4513,106,2025-11-20T19:15:05,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/views.py,views.py,39402,1184,2025-12-02T17:07:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/urls.py.backup2,urls.py.backup2,1604,N/A,2025-10-04T17:55:23,.backup2
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/wsgi.py,wsgi.py,403,17,2025-09-19T10:21:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/mutuelle_core/decorators.py,decorators.py,2013,57,2025-10-06T12:48:58,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyze_medecin.py,analyze_medecin.py,12111,312,2025-10-25T18:02:46,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_without_server_fixed.py,test_without_server_fixed.py,6390,174,2025-12-03T18:38:36,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_api_mobile.py,test_api_mobile.py,1393,41,2025-11-05T15:42:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_video_fixed.py,check_video_fixed.py,6390,187,2025-11-01T19:26:59,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/affecter_verifications_reel_final.py,affecter_verifications_reel_final.py,3046,85,2025-11-30T20:02:11,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/rapport_final_deploiement.py,rapport_final_deploiement.py,3060,79,2025-11-30T21:25:54,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/cotisations_champs_problematiques.csv,cotisations_champs_problematiques.csv,1455,N/A,2025-12-04T22:16:11,.csv
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/fix_video_simple.sh,fix_video_simple.sh,2704,77,2025-11-01T19:26:59,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/ameliorer_pieces_jointes.py,ameliorer_pieces_jointes.py,4215,115,2025-11-01T10:59:00,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verification_rapide_apps.py,verification_rapide_apps.py,4640,152,2025-10-21T13:17:36,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/creer_donnees_test2.py,creer_donnees_test2.py,2618,78,2025-11-15T16:57:36,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/template_migration_report.txt,template_migration_report.txt,3706,53,2025-10-17T09:49:08,.txt
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/fix_test_issues.py,fix_test_issues.py,3971,114,2025-11-05T19:10:15,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/rapport_actions_cotisations_20251127_122236.json,rapport_actions_cotisations_20251127_122236.json,1458,59,2025-11-27T12:22:36,.json
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_users.py,check_users.py,981,35,2025-12-05T22:54:06,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/quick_check.py,quick_check.py,3936,113,2025-11-19T10:27:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyse_rapport_20251112_083706.txt,analyse_rapport_20251112_083706.txt,3025,84,2025-11-12T08:37:06,.txt
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_cotisations_shell.py,test_cotisations_shell.py,0,1,2025-12-03T15:32:22,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verifier_templates.py,verifier_templates.py,1867,57,2025-09-30T16:11:38,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_admin_final.py,correction_admin_final.py,2580,77,2025-11-01T11:01:21,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/config_test_mutuelle.py,config_test_mutuelle.py,1034,37,2025-09-30T14:02:18,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_cotisations.py,test_cotisations.py,2676,85,2025-12-03T15:31:50,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_conversations.py,diagnostic_conversations.py,2166,59,2025-12-01T03:51:03,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/membres_analysis_ultime.py,membres_analysis_ultime.py,26197,673,2025-11-02T22:15:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/corriger_template_messagerie.py,corriger_template_messagerie.py,3999,92,2025-11-17T10:42:46,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verifier_templates_parents.py,verifier_templates_parents.py,2338,71,2025-11-12T11:54:40,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_fina.py,diagnostic_fina.py,5891,166,2025-12-02T16:28:21,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/hotfix_cotisation_link.py,hotfix_cotisation_link.py,1132,28,2025-11-30T22:45:39,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/complete_agent_fix.py,complete_agent_fix.py,1938,59,2025-10-23T16:00:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_agents_complet.py,diagnostic_agents_complet.py,11592,331,2025-11-28T17:03:17,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_affichage_recherche_cotisations.py,diagnostic_affichage_recherche_cotisations.py,13143,280,2025-11-27T12:52:45,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyze_project6.py,analyze_project6.py,21115,486,2025-11-06T16:36:12,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/affichage_unifie.py,affichage_unifie.py,11256,280,2025-11-27T16:52:38,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verification_rapide3.py,verification_rapide3.py,2463,77,2025-11-18T18:58:23,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verification_apres_correction.py,verification_apres_correction.py,2955,72,2025-11-17T13:01:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/reset_passwords_and_test.py,reset_passwords_and_test.py,12445,324,2025-11-01T17:29:40,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/run_diagnostic_complet.py,run_diagnostic_complet.py,921,35,2025-11-15T20:51:31,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/fix_dashboard_error.py,fix_dashboard_error.py,15953,410,2025-11-05T22:31:45,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/fix_contenttypes.py,fix_contenttypes.py,12145,308,2025-12-02T14:15:32,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/find_double_registration.py,find_double_registration.py,2715,72,2025-10-21T19:18:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_namespace_widget.sh,correction_namespace_widget.sh,4956,122,2025-10-22T12:48:38,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/debug_redirections.py,debug_redirections.py,4390,150,2025-12-06T00:10:47,.py
